t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.04309135,-0.03547920
0.25000000,0.05000686,0.00740722,0.04848514,-0.00702247
0.25000000,0.05000686,0.00740722,0.04296984,-0.03613050
0.25000000,0.05000686,0.00740722,0.04749557,-0.01217738
0.25000000,0.05000686,0.00740722,0.05623120,0.03233173
0.25000000,0.05000686,0.00740722,0.03721222,-0.06751940
0.25000000,0.05000686,0.00740722,0.05322473,0.01726476
0.25000000,0.05000686,0.00740722,0.05176782,0.00986935
0.25000000,0.05000686,0.00740722,0.04560586,-0.02210317
0.25000000,0.05000686,0.00740722,0.03929559,-0.05604110
0.25000000,0.05000686,0.00740722,0.05054114,0.00359443
0.25000000,0.05000686,0.00740722,0.04608479,-0.01957735
0.25000000,0.05000686,0.00740722,0.05173034,0.00967830
0.25000000,0.05000686,0.00740722,0.05016872,0.00168062
0.25000000,0.05000686,0.00740722,0.06187159,0.05990675
0.25000000,0.05000686,0.00740722,0.04823390,-0.00832846
0.25000000,0.05000686,0.00740722,0.04242559,-0.03905325
0.25000000,0.05000686,0.00740722,0.05133479,0.00765931
0.25000000,0.05000686,0.00740722,0.05163642,0.00919932
0.25000000,0.05000686,0.00740722,0.06007466,0.05121846
0.25000000,0.05000686,0.00740722,0.05619271,0.03214045
0.25000000,0.05000686,0.00740722,0.05265028,0.01435619
0.25000000,0.05000686,0.00740722,0.06084586,0.05495827
0.25000000,0.05000686,0.00740722,0.04120143,-0.04566086
0.25000000,0.05000686,0.00740722,0.04526808,-0.02388878
0.25000000,0.05000686,0.00740722,0.04314351,-0.03519977
0.25000000,0.05000686,0.00740722,0.04711945,-0.01414435
0.25000000,0.05000686,0.00740722,0.03980944,-0.05323116
0.25000000,0.05000686,0.00740722,0.05471156,0.02474853
0.25000000,0.05000686,0.00740722,0.04836081,-0.00766853
0.25000000,0.05000686,0.00740722,0.03911227,-0.05704556
0.25000000,0.05000686,0.00740722,0.04248424,-0.03873783
0.25000000,0.05000686,0.00740722,0.05232912,0.01272592
0.25000000,0.05000686,0.00740722,0.05621505,0.03225144
0.25000000,0.05000686,0.00740722,0.06479708,0.07386171
0.25000000,0.05000686,0.00740722,0.07159048,0.10537920
0.25000000,0.05000686,0.00740722,0.05307648,0.01651506
0.25000000,0.05000686,0.00740722,0.04267713,-0.03770126
0.25000000,0.05000686,0.00740722,0.03421432,-0.08427992
0.25000000,0.05000686,0.00740722,0.05198986,0.01100043
0.25000000,0.05000686,0.00740722,0.04398523,-0.03070200
0.25000000,0.05000686,0.00740722,0.04693022,-0.01513561
0.25000000,0.05000686,0.00740722,0.04547292,-0.02280550
0.25000000,0.05000686,0.00740722,0.04896399,-0.00453853
0.25000000,0.05000686,0.00740722,0.05790281,0.04059718
0.25000000,0.05000686,0.00740722,0.05117015,0.00681759
0.25000000,0.05000686,0.00740722,0.04883181,-0.00522347
0.25000000,0.05000686,0.00740722,0.04233554,-0.03953770
0.25000000,0.05000686,0.00740722,0.03760211,-0.06536078
0.25000000,0.05000686,0.00740722,0.04640467,-0.01789421
0.25000000,0.05000686,0.00740722,0.04960848,-0.00120615
0.25000000,0.05000686,0.00740722,0.06310230,0.06580593
0.25000000,0.05000686,0.00740722,0.05097183,0.00580262
0.25000000,0.05000686,0.00740722,0.05728623,0.03755764
0.25000000,0.05000686,0.00740722,0.04630847,-0.01840009
0.25000000,0.05000686,0.00740722,0.04122972,-0.04550763
0.25000000,0.05000686,0.00740722,0.04285803,-0.03673020
0.25000000,0.05000686,0.00740722,0.04463495,-0.02724503
0.25000000,0.05000686,0.00740722,0.06577290,0.07846470
0.25000000,0.05000686,0.00740722,0.04392267,-0.03103554
0.25000000,0.05000686,0.00740722,0.05621773,0.03226478
0.25000000,0.05000686,0.00740722,0.04331868,-0.03426193
0.25000000,0.05000686,0.00740722,0.05690722,0.03568394
0.25000000,0.05000686,0.00740722,0.05285827,0.01541042
0.25000000,0.05000686,0.00740722,0.04884661,-0.00514679
0.25000000,0.05000686,0.00740722,0.04970492,-0.00070855
0.25000000,0.05000686,0.00740722,0.04515670,-0.02447830
0.25000000,0.05000686,0.00740722,0.05331101,0.01770081
0.25000000,0.05000686,0.00740722,0.04663670,-0.01667527
0.25000000,0.05000686,0.00740722,0.04092853,-0.04714026
0.25000000,0.05000686,0.00740722,0.04054089,-0.04924560
0.25000000,0.05000686,0.00740722,0.05128525,0.00740613
0.25000000,0.05000686,0.00740722,0.06170353,0.05909799
0.25000000,0.05000686,0.00740722,0.05119195,0.00692908
0.25000000,0.05000686,0.00740722,0.04912808,-0.00368892
0.25000000,0.05000686,0.00740722,0.05212403,0.01168326
0.25000000,0.05000686,0.00740722,0.05968070,0.04930164
0.25000000,0.05000686,0.00740722,0.05163187,0.00917611
0.25000000,0.05000686,0.00740722,0.04696303,-0.01496365
0.25000000,0.05000686,0.00740722,0.05820138,0.04206519
0.25000000,0.05000686,0.00740722,0.05318275,0.01705254
0.25000000,0.05000686,0.00740722,0.06138254,0.05755103
0.25000000,0.05000686,0.00740722,0.05136412,0.00780914
0.25000000,0.05000686,0.00740722,0.04093695,-0.04709458
0.25000000,0.05000686,0.00740722,0.03987260,-0.05288634
0.25000000,0.05000686,0.00740722,0.06223564,0.06165612
0.25000000,0.05000686,0.00740722,0.06277443,0.06423840
0.25000000,0.05000686,0.00740722,0.04867712,-0.00602578
0.25000000,0.05000686,0.00740722,0.04716851,-0.01388757
0.25000000,0.05000686,0.00740722,0.06083210,0.05489165
0.25000000,0.05000686,0.00740722,0.04180673,-0.04238784
0.25000000,0.05000686,0.00740722,0.04337942,-0.03393696
0.25000000,0.05000686,0.00740722,0.05477212,0.02505200
0.25000000,0.05000686,0.00740722,0.04708393,-0.01433033
0.25000000,0.05000686,0.00740722,0.04996892,0.00065216
0.25000000,0.05000686,0.00740722,0.04879620,-0.00540812
0.25000000,0.05000686,0.00740722,0.05250735,0.01363100
0.25000000,0.05000686,0.00740722,0.06043238,0.05295524
0.25000000,0.05000686,0.00740722,0.05067784,0.00429590
0.25000000,0.05000686,0.00740722,0.05477665,0.02507471
0.25000000,0.05000686,0.00740722,0.03482078,-0.08086593
0.25000000,0.05000686,0.00740722,0.04964599,-0.00101257
0.25000000,0.05000686,0.00740722,0.04376087,-0.03189874
0.25000000,0.05000686,0.00740722,0.04097884,-0.04686732
0.25000000,0.05000686,0.00740722,0.04350219,-0.03328046
0.25000000,0.05000686,0.00740722,0.04753193,-0.01198742
0.25000000,0.05000686,0.00740722,0.05679115,0.03510928
0.25000000,0.05000686,0.00740722,0.04018198,-0.05119919
0.25000000,0.05000686,0.00740722,0.05023375,0.00201510
0.25000000,0.05000686,0.00740722,0.04642051,-0.01781095
0.25000000,0.05000686,0.00740722,0.04757971,-0.01173790
0.25000000,0.05000686,0.00740722,0.05743451,0.03828959
0.25000000,0.05000686,0.00740722,0.05399280,0.02113871
0.25000000,0.05000686,0.00740722,0.05991326,0.05043369
0.25000000,0.05000686,0.00740722,0.04886240,-0.00506492
0.25000000,0.05000686,0.00740722,0.04485186,-0.02609381
0.25000000,0.05000686,0.00740722,0.04834869,-0.00773153
0.25000000,0.05000686,0.00740722,0.05180308,0.01004910
0.25000000,0.05000686,0.00740722,0.05131478,0.00755702
0.25000000,0.05000686,0.00740722,0.04197456,-0.04148235
0.25000000,0.05000686,0.00740722,0.05067714,0.00429229
0.25000000,0.05000686,0.00740722,0.05169740,0.00951030
0.25000000,0.05000686,0.00740722,0.06865434,0.09190744
0.25000000,0.05000686,0.00740722,0.06390906,0.06965043
0.25000000,0.05000686,0.00740722,0.04368670,-0.03229471
0.25000000,0.05000686,0.00740722,0.04787815,-0.01018095
0.25000000,0.05000686,0.00740722,0.03916682,-0.05674656
0.25000000,0.05000686,0.00740722,0.04563136,-0.02196850
0.25000000,0.05000686,0.00740722,0.05234461,0.01280462
0.25000000,0.05000686,0.00740722,0.05893888,0.04568053
0.25000000,0.05000686,0.00740722,0.04460637,-0.02739680
0.25000000,0.05000686,0.00740722,0.04516145,-0.02445315
0.25000000,0.05000686,0.00740722,0.03410142,-0.08491683
0.25000000,0.05000686,0.00740722,0.04880196,-0.00537827
0.25000000,0.05000686,0.00740722,0.04213732,-0.04060503
0.25000000,0.05000686,0.00740722,0.04608518,-0.01957527
0.25000000,0.05000686,0.00740722,0.04351176,-0.03322932
0.25000000,0.05000686,0.00740722,0.04930863,-0.00275498
0.25000000,0.05000686,0.00740722,0.03698698,-0.06876862
0.25000000,0.05000686,0.00740722,0.03914013,-0.05689284
0.25000000,0.05000686,0.00740722,0.06577866,0.07849178
0.25000000,0.05000686,0.00740722,0.04047064,-0.04962770
0.25000000,0.05000686,0.00740722,0.04188273,-0.04197770
0.25000000,0.05000686,0.00740722,0.06361328,0.06824300
